strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,num_trades,years,final_equity
SMA50_200_RSI50_UPRO75_TLT_delay0_cautionTrue_vixNone,50,200,50,75,25,TLT,0,True,,2401413.19,95.41,-57.99,1.0299,1.6452,374,15.1,2401513192.86
SMA100_200_RSI50_UPRO75_SHY_delay2_cautionTrue_vixNone,100,200,50,75,25,SHY,2,True,,2412051.56,95.47,-47.29,1.0294,2.0187,370,15.1,2412151559.34
SMA100_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vixNone,100,200,45,75,25,TLT,2,True,,2404356.59,95.43,-68.34,1.0276,1.3965,285,15.1,2404456589.93
SMA100_200_RSI45_UPRO75_cash_delay0_cautionTrue_vix35,100,200,45,75,25,cash,0,True,35.0,2245730.55,94.55,-61.88,1.0262,1.5278,310,15.1,2245830553.93
SMA100_200_RSI50_UPRO75_cash_delay2_cautionTrue_vixNone,100,200,50,75,25,cash,2,True,,2266339.68,94.66,-47.8,1.0242,1.9803,370,15.1,2266439682.1
SMA100_200_RSI35_UPRO100_TLT_delay2_cautionTrue_vixNone,100,200,35,100,0,TLT,2,True,,48517.92,50.82,-70.01,1.0218,0.726,106,15.1,48617915.27
SMA100_200_RSI50_UPRO75_SHY_delay0_cautionTrue_vixNone,100,200,50,75,25,SHY,0,True,,2094519.52,93.65,-47.29,1.0178,1.9801,370,15.1,2094619515.41
SMA100_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vixNone,100,200,45,75,25,TLT,0,True,,2018626.28,93.17,-67.73,1.0136,1.3757,287,15.1,2018726276.23
SMA100_200_RSI50_UPRO75_cash_delay0_cautionTrue_vixNone,100,200,50,75,25,cash,0,True,,1979390.78,92.92,-47.8,1.0131,1.9439,370,15.1,1979490781.74
SMA50_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vix35,50,200,45,75,25,TLT,0,True,35.0,1832345.41,91.94,-71.65,1.0099,1.2831,300,15.1,1832445409.27
SMA50_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vix35,50,200,45,75,25,TLT,2,True,35.0,1750633.6,91.35,-70.78,1.0062,1.2908,299,15.1,1750733604.14
SMA100_200_RSI35_UPRO100_TLT_delay0_cautionTrue_vixNone,100,200,35,100,0,TLT,0,True,,39144.56,48.69,-68.62,0.9949,0.7096,107,15.1,39244556.93
SMA50_200_RSI50_UPRO75_SHY_delay2_cautionTrue_vixNone,50,200,50,75,25,SHY,2,True,,1560873.27,89.9,-47.29,0.9944,1.9009,374,15.1,1560973272.05
SMA100_200_RSI35_UPRO100_SHY_delay2_cautionTrue_vixNone,100,200,35,100,0,SHY,2,True,,37630.97,48.3,-63.26,0.9921,0.7635,106,15.1,37730972.27
SMA50_200_RSI50_UPRO75_cash_delay2_cautionTrue_vixNone,50,200,50,75,25,cash,2,True,,1485991.91,89.28,-47.8,0.9903,1.8677,374,15.1,1486091909.01
SMA50_200_RSI50_UPRO75_SHY_delay0_cautionTrue_vixNone,50,200,50,75,25,SHY,0,True,,1459693.69,89.06,-47.29,0.9888,1.8831,374,15.1,1459793691.85
SMA100_200_RSI35_UPRO100_cash_delay2_cautionTrue_vixNone,100,200,35,100,0,cash,2,True,,36563.09,48.02,-62.35,0.9883,0.7702,106,15.1,36663088.18
SMA100_200_RSI40_UPRO75_TLT_delay2_cautionTrue_vix35,100,200,40,75,25,TLT,2,True,35.0,1418712.07,88.7,-67.55,0.9859,1.3132,226,15.1,1418812069.22
