strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,win_rate_pct,num_trades,years,final_equity
SMA50_200_RSI50_UPRO100_cash_delay0_cautionFalse,50,200,50,100,0,cash,0,False,93.31,13.61,-73.62,0.5392,0.1848,25.0,5,5.2,193309.06
SMA50_200_RSI40_UPRO100_cash_delay0_cautionFalse,50,200,40,100,0,cash,0,False,93.31,13.61,-73.62,0.5392,0.1848,25.0,5,5.2,193309.06
SMA50_200_RSI35_UPRO100_cash_delay0_cautionFalse,50,200,35,100,0,cash,0,False,93.31,13.61,-73.62,0.5392,0.1848,25.0,5,5.2,193309.06
SMA50_200_RSI45_UPRO100_cash_delay0_cautionFalse,50,200,45,100,0,cash,0,False,93.31,13.61,-73.62,0.5392,0.1848,25.0,5,5.2,193309.06
SMA50_200_RSI40_UPRO100_SHY_delay2_cautionFalse,50,200,40,100,0,SHY,2,False,91.27,13.37,-73.38,0.5346,0.1823,50.0,5,5.2,191266.21
SMA50_200_RSI45_UPRO100_SHY_delay2_cautionFalse,50,200,45,100,0,SHY,2,False,91.27,13.37,-73.38,0.5346,0.1823,50.0,5,5.2,191266.21
SMA50_200_RSI35_UPRO100_SHY_delay2_cautionFalse,50,200,35,100,0,SHY,2,False,91.27,13.37,-73.38,0.5346,0.1823,50.0,5,5.2,191266.21
SMA50_200_RSI50_UPRO100_SHY_delay2_cautionFalse,50,200,50,100,0,SHY,2,False,91.27,13.37,-73.38,0.5346,0.1823,50.0,5,5.2,191266.21
SMA100_200_RSI50_UPRO75_SHY_delay0_cautionFalse,100,200,50,75,25,SHY,0,False,87.98,12.99,-73.04,0.5298,0.1779,50.0,5,5.2,187980.67
SMA100_200_RSI45_UPRO75_SHY_delay0_cautionFalse,100,200,45,75,25,SHY,0,False,87.98,12.99,-73.04,0.5298,0.1779,50.0,5,5.2,187980.67
SMA100_200_RSI40_UPRO75_SHY_delay0_cautionFalse,100,200,40,75,25,SHY,0,False,87.98,12.99,-73.04,0.5298,0.1779,50.0,5,5.2,187980.67
SMA100_200_RSI35_UPRO75_SHY_delay0_cautionFalse,100,200,35,75,25,SHY,0,False,87.98,12.99,-73.04,0.5298,0.1779,50.0,5,5.2,187980.67
SMA50_200_RSI40_UPRO100_SHY_delay0_cautionFalse,50,200,40,100,0,SHY,0,False,88.22,13.02,-74.43,0.528,0.175,50.0,5,5.2,188221.36
SMA50_200_RSI50_UPRO100_SHY_delay0_cautionFalse,50,200,50,100,0,SHY,0,False,88.22,13.02,-74.43,0.528,0.175,50.0,5,5.2,188221.36
